1;Israel;1;1;2021-10-19;2021-10-19 23:59:00
2;Afghanistan;2;2;2021-10-19;2021-10-19 23:59:00
3;Albania;3;3;2021-10-19;2021-10-19 23:59:00
4;Algeria;4;4;2021-10-19;2021-10-19 23:59:00
5;AmericanSamoa;5;5;2021-10-19;2021-10-19 23:59:00
6;Andorra;6;6;2021-10-19;2021-10-19 23:59:00
7;Angola;7;7;2021-10-19;2021-10-19 23:59:00
8;Anguilla;8;8;2021-10-19;2021-10-19 23:59:00
9;Antigua and Barbuda;9;9;2021-10-19;2021-10-19 23:59:00
10;Argentina;10;10;2021-10-19;2021-10-19 23:59:00
11;Armenia;11;11;2021-10-19;2021-10-19 23:59:00
12;Aruba;12;12;2021-10-19;2021-10-19 23:59:00
13;Australia;13;13;2021-10-19;2021-10-19 23:59:00
14;Austria;14;14;2021-10-19;2021-10-19 23:59:00
15;Azerbaijan;15;15;2021-10-19;2021-10-19 23:59:00
16;Bahamas;16;16;2021-10-19;2021-10-19 23:59:00
17;Bahrain;17;17;2021-10-19;2021-10-19 23:59:00
18;Bangladesh;18;18;2021-10-19;2021-10-19 23:59:00
19;Barbados;19;19;2021-10-19;2021-10-19 23:59:00
20;Belarus;20;20;2021-10-19;2021-10-19 23:59:00
21;Belgium;21;21;2021-10-19;2021-10-19 23:59:00
22;Belize;22;22;2021-10-19;2021-10-19 23:59:00
23;Benin;23;23;2021-10-19;2021-10-19 23:59:00
24;Bermuda;24;24;2021-10-19;2021-10-19 23:59:00
25;Bhutan;25;25;2021-10-19;2021-10-19 23:59:00
26;Bosnia and Herzegovina;26;26;2021-10-19;2021-10-19 23:59:00
27;Botswana;27;27;2021-10-19;2021-10-19 23:59:00
28;Brazil;28;28;2021-10-19;2021-10-19 23:59:00
29;British Indian Ocean Territory;29;29;2021-10-19;2021-10-19 23:59:00
30;Bulgaria;30;30;2021-10-19;2021-10-19 23:59:00
31;Burkina Faso;31;31;2021-10-19;2021-10-19 23:59:00
32;Burundi;32;32;2021-10-19;2021-10-19 23:59:00
33;Cambodia;33;33;2021-10-19;2021-10-19 23:59:00
34;Cameroon;34;34;2021-10-19;2021-10-19 23:59:00
35;Canada;35;35;2021-10-19;2021-10-19 23:59:00
36;Cape Verde;36;36;2021-10-19;2021-10-19 23:59:00
37;Cayman Islands;37;37;2021-10-19;2021-10-19 23:59:00
38;Central African Republic;38;38;2021-10-19;2021-10-19 23:59:00
39;Chad;39;39;2021-10-19;2021-10-19 23:59:00
40;Chile;40;40;2021-10-19;2021-10-19 23:59:00
41;China;41;41;2021-10-19;2021-10-19 23:59:00
42;Christmas Island;42;42;2021-10-19;2021-10-19 23:59:00
43;Colombia;43;43;2021-10-19;2021-10-19 23:59:00
44;Comoros;44;44;2021-10-19;2021-10-19 23:59:00
45;Congo;45;45;2021-10-19;2021-10-19 23:59:00
46;Cook Islands;46;46;2021-10-19;2021-10-19 23:59:00
47;Costa Rica;47;47;2021-10-19;2021-10-19 23:59:00
48;Croatia;48;48;2021-10-19;2021-10-19 23:59:00
49;Cuba;49;49;2021-10-19;2021-10-19 23:59:00
50;Cyprus;50;50;2021-10-19;2021-10-19 23:59:00
51;Czech Republic;51;51;2021-10-19;2021-10-19 23:59:00
52;Denmark;52;52;2021-10-19;2021-10-19 23:59:00
53;Djibouti;53;53;2021-10-19;2021-10-19 23:59:00
54;Dominica;54;54;2021-10-19;2021-10-19 23:59:00
55;Dominican Republic;55;55;2021-10-19;2021-10-19 23:59:00
56;Ecuador;56;56;2021-10-19;2021-10-19 23:59:00
57;Egypt;57;57;2021-10-19;2021-10-19 23:59:00
58;El Salvador;58;58;2021-10-19;2021-10-19 23:59:00
59;Equatorial Guinea;59;59;2021-10-19;2021-10-19 23:59:00
60;Eritrea;60;60;2021-10-19;2021-10-19 23:59:00
61;Estonia;61;61;2021-10-19;2021-10-19 23:59:00
62;Ethiopia;62;62;2021-10-19;2021-10-19 23:59:00
63;Faroe Islands;63;63;2021-10-19;2021-10-19 23:59:00
64;Fiji;64;64;2021-10-19;2021-10-19 23:59:00
65;Finland;65;65;2021-10-19;2021-10-19 23:59:00
66;France;66;66;2021-10-19;2021-10-19 23:59:00
67;French Guiana;67;67;2021-10-19;2021-10-19 23:59:00
68;French Polynesia;68;68;2021-10-19;2021-10-19 23:59:00
69;Gabon;69;69;2021-10-19;2021-10-19 23:59:00
70;Gambia;70;70;2021-10-19;2021-10-19 23:59:00
71;Georgia;71;71;2021-10-19;2021-10-19 23:59:00
72;Germany;72;72;2021-10-19;2021-10-19 23:59:00
73;Ghana;73;73;2021-10-19;2021-10-19 23:59:00
74;Gibraltar;74;74;2021-10-19;2021-10-19 23:59:00
75;Greece;75;75;2021-10-19;2021-10-19 23:59:00
76;Greenland;76;76;2021-10-19;2021-10-19 23:59:00
77;Grenada;77;77;2021-10-19;2021-10-19 23:59:00
78;Guadeloupe;78;78;2021-10-19;2021-10-19 23:59:00
79;Guam;79;79;2021-10-19;2021-10-19 23:59:00
80;Guatemala;80;80;2021-10-19;2021-10-19 23:59:00
81;Guinea;81;81;2021-10-19;2021-10-19 23:59:00
82;Guinea-Bissau;82;82;2021-10-19;2021-10-19 23:59:00
83;Guyana;83;83;2021-10-19;2021-10-19 23:59:00
84;Haiti;84;84;2021-10-19;2021-10-19 23:59:00
85;Honduras;85;85;2021-10-19;2021-10-19 23:59:00
86;Hungary;86;86;2021-10-19;2021-10-19 23:59:00
87;Iceland;87;87;2021-10-19;2021-10-19 23:59:00
88;India;88;88;2021-10-19;2021-10-19 23:59:00
89;Indonesia;89;89;2021-10-19;2021-10-19 23:59:00
90;Iraq;90;90;2021-10-19;2021-10-19 23:59:00
91;Ireland;91;91;2021-10-19;2021-10-19 23:59:00
92;Israel;92;92;2021-10-19;2021-10-19 23:59:00
93;Italy;93;93;2021-10-19;2021-10-19 23:59:00
94;Jamaica;94;94;2021-10-19;2021-10-19 23:59:00
95;Japan;95;95;2021-10-19;2021-10-19 23:59:00
96;Jordan;96;96;2021-10-19;2021-10-19 23:59:00
97;Kazakhstan;97;97;2021-10-19;2021-10-19 23:59:00
98;Kenya;98;98;2021-10-19;2021-10-19 23:59:00
99;Kiribati;99;99;2021-10-19;2021-10-19 23:59:00
100;Kuwait;100;100;2021-10-19;2021-10-19 23:59:00
101;Kyrgyzstan;101;101;2021-10-19;2021-10-19 23:59:00
102;Latvia;102;102;2021-10-19;2021-10-19 23:59:00
103;Lebanon;103;103;2021-10-19;2021-10-19 23:59:00
104;Lesotho;104;104;2021-10-19;2021-10-19 23:59:00
105;Liberia;105;105;2021-10-19;2021-10-19 23:59:00
106;Liechtenstein;106;106;2021-10-19;2021-10-19 23:59:00
107;Lithuania;107;107;2021-10-19;2021-10-19 23:59:00
108;Luxembourg;108;108;2021-10-19;2021-10-19 23:59:00
109;Madagascar;109;109;2021-10-19;2021-10-19 23:59:00
110;Malawi;110;110;2021-10-19;2021-10-19 23:59:00
111;Malaysia;111;111;2021-10-19;2021-10-19 23:59:00
112;Maldives;112;112;2021-10-19;2021-10-19 23:59:00
113;Mali;113;113;2021-10-19;2021-10-19 23:59:00
114;Malta;114;114;2021-10-19;2021-10-19 23:59:00
115;Marshall Islands;115;115;2021-10-19;2021-10-19 23:59:00
116;Martinique;116;116;2021-10-19;2021-10-19 23:59:00
117;Mauritania;117;117;2021-10-19;2021-10-19 23:59:00
118;Mauritius;118;118;2021-10-19;2021-10-19 23:59:00
119;Mayotte;119;119;2021-10-19;2021-10-19 23:59:00
120;Mexico;120;120;2021-10-19;2021-10-19 23:59:00
121;Monaco;121;121;2021-10-19;2021-10-19 23:59:00
122;Mongolia;122;122;2021-10-19;2021-10-19 23:59:00
123;Montenegro;123;123;2021-10-19;2021-10-19 23:59:00
124;Montserrat;124;124;2021-10-19;2021-10-19 23:59:00
125;Morocco;125;125;2021-10-19;2021-10-19 23:59:00
126;Myanmar;126;126;2021-10-19;2021-10-19 23:59:00
127;Namibia;127;127;2021-10-19;2021-10-19 23:59:00
128;Nauru;128;128;2021-10-19;2021-10-19 23:59:00
129;Nepal;129;129;2021-10-19;2021-10-19 23:59:00
130;Netherlands;130;130;2021-10-19;2021-10-19 23:59:00
131;Netherlands Antilles;131;131;2021-10-19;2021-10-19 23:59:00
132;New Caledonia;132;132;2021-10-19;2021-10-19 23:59:00
133;New Zealand;133;133;2021-10-19;2021-10-19 23:59:00
134;Nicaragua;134;134;2021-10-19;2021-10-19 23:59:00
135;Niger;135;135;2021-10-19;2021-10-19 23:59:00
136;Nigeria;136;136;2021-10-19;2021-10-19 23:59:00
137;Niue;137;137;2021-10-19;2021-10-19 23:59:00
138;Norfolk Island;138;138;2021-10-19;2021-10-19 23:59:00
139;Northern Mariana Islands;139;139;2021-10-19;2021-10-19 23:59:00
140;Norway;140;140;2021-10-19;2021-10-19 23:59:00
141;Oman;141;141;2021-10-19;2021-10-19 23:59:00
142;Pakistan;142;142;2021-10-19;2021-10-19 23:59:00
143;Palau;143;143;2021-10-19;2021-10-19 23:59:00
144;Panama;144;144;2021-10-19;2021-10-19 23:59:00
145;Papua New Guinea;145;145;2021-10-19;2021-10-19 23:59:00
146;Paraguay;146;146;2021-10-19;2021-10-19 23:59:00
147;Peru;147;147;2021-10-19;2021-10-19 23:59:00
148;Philippines;148;148;2021-10-19;2021-10-19 23:59:00
149;Poland;149;149;2021-10-19;2021-10-19 23:59:00
150;Portugal;150;150;2021-10-19;2021-10-19 23:59:00
151;Puerto Rico;151;151;2021-10-19;2021-10-19 23:59:00
152;Qatar;152;152;2021-10-19;2021-10-19 23:59:00
153;Romania;153;153;2021-10-19;2021-10-19 23:59:00
154;Rwanda;154;154;2021-10-19;2021-10-19 23:59:00
155;Samoa;155;155;2021-10-19;2021-10-19 23:59:00
156;San Marino;156;156;2021-10-19;2021-10-19 23:59:00
157;Saudi Arabia;157;157;2021-10-19;2021-10-19 23:59:00
158;Senegal;158;158;2021-10-19;2021-10-19 23:59:00
159;Serbia;159;159;2021-10-19;2021-10-19 23:59:00
160;Seychelles;160;160;2021-10-19;2021-10-19 23:59:00
161;Sierra Leone;161;161;2021-10-19;2021-10-19 23:59:00
162;Singapore;162;162;2021-10-19;2021-10-19 23:59:00
163;Slovakia;163;163;2021-10-19;2021-10-19 23:59:00
164;Slovenia;164;164;2021-10-19;2021-10-19 23:59:00
165;Solomon Islands;165;165;2021-10-19;2021-10-19 23:59:00
166;South Africa;166;166;2021-10-19;2021-10-19 23:59:00
167;South Georgia and the South Sandwich Islands;167;167;2021-10-19;2021-10-19 23:59:00
168;Spain;168;168;2021-10-19;2021-10-19 23:59:00
169;Sri Lanka;169;169;2021-10-19;2021-10-19 23:59:00
170;Sudan;170;170;2021-10-19;2021-10-19 23:59:00
171;Suriname;171;171;2021-10-19;2021-10-19 23:59:00
172;Swaziland;172;172;2021-10-19;2021-10-19 23:59:00
